ts,provider,endpoint,rows_returned,ok,est_cost,cumulative_day
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SORA,0,False,0.0,82
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SRFM,0,False,0.0,83
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/STG,0,False,0.0,84
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/SYNX,0,False,0.0,85
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/TCRT,0,False,0.0,86
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/TLS,0,False,0.0,87
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/TOP,0,False,0.0,88
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/TRVN,0,False,0.0,89
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/UAMY,0,False,0.0,90
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/UPXI,0,False,0.0,91
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/VATE,0,False,0.0,92
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/VGAS,0,False,0.0,93
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/VRDN,0,False,0.0,94
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/VXRT,0,False,0.0,95
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/WORX,0,False,0.0,96
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/WWR,0,False,0.0,97
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/XHG,0,False,0.0,98
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/YIBO,0,False,0.0,99
2026-08-31T21:57:41.501242+00:00,massive,v2/aggs/ticker/range/1/day/ZEPP,0,False,0.0,100
