date,ticker,gain_pct,relative_volume,close
2026-04-10,NCEL,19.14,2.76,2.49
2026-04-21,NCEL,19.43,9.27,3.38
2026-04-23,NCEL,34.15,8.49,4.91
2026-04-30,NCEL,28.95,2.65,4.41
2024-07-10,NERV,10.78,5.73,3.35
2025-01-28,NERV,13.08,5.82,2.68
2025-07-16,NERV,16.07,24.66,2.105
2025-08-15,NERV,25.35,29.46,2.25
2025-10-08,NERV,29.82,42.53,2.83
2025-10-21,NERV,140.98,240.64,6.41
2026-02-02,NERV,15.27,2.63,4.68
2026-02-09,NERV,17.71,4.03,5.65
2026-02-10,NERV,11.68,2.47,6.31
2026-03-09,NERV,33.11,4.08,8.0
2026-05-20,NERV,15.37,3.19,5.03
2024-10-02,NKLA,19.57,5.85,5.56
2024-10-28,NKLA,20.14,2.7,5.31
2024-10-17,NPWR,11.61,2.76,7.98
2024-11-12,NPWR,24.64,3.7,11.33
2024-11-13,NPWR,13.33,2.81,12.84
2025-05-29,NPWR,31.43,15.04,2.3
2025-06-03,NPWR,24.32,3.35,2.76
2025-06-06,NPWR,35.81,2.92,2.92
2025-09-18,NPWR,17.41,2.46,2.63
2025-09-23,NPWR,14.06,3.72,2.92
2025-10-06,NPWR,10.95,2.21,3.75
2025-10-08,NPWR,23.65,6.12,4.34
2025-10-14,NPWR,22.65,2.21,4.82
2025-10-29,NPWR,20.0,2.26,4.14
2026-05-12,NPWR,21.57,4.96,2.48
2024-10-24,NUKK,825.38,6.42,2.53
2024-12-17,NUKK,754.68,1650.83,11.88
2025-02-26,NUKK,28.28,2.33,13.29
2025-02-28,NUKK,11.51,2.36,15.7
2025-04-23,NUKK,11.89,2.3,16.0
2025-05-20,NUKK,20.95,6.56,19.4
2025-06-13,NUKK,15.43,19.7,13.99
2025-08-26,NUKK,17.41,157.14,5.8
2025-08-29,NUKK,31.98,28.87,4.87
2025-11-25,NUKK,19.58,8.41,6.29
2026-01-08,NUKK,25.0,3.09,4.25
2024-10-24,NXL,57.51,66.57,2.15
2024-10-29,NXL,18.64,2.71,2.61
2025-01-30,NXL,10.77,3.09,2.88
2025-02-05,NXL,15.11,2.32,3.58
2025-08-04,ONDS,21.36,2.02,2.67
2025-08-05,ONDS,14.98,2.56,3.07
2025-08-12,ONDS,25.07,2.83,4.29
2025-10-02,ONDS,25.99,2.12,9.21
2025-11-13,ONDS,19.06,3.08,6.56
2026-05-14,ONDS,26.52,4.63,11.21
2026-05-28,ONDS,22.69,3.63,13.25
2026-03-24,OTH,17.24,6.02,2.38
2026-04-01,OTH,22.11,2.45,2.43
2026-04-02,OTH,11.11,3.08,2.7
2026-04-09,OTH,29.45,5.0,3.78
2026-05-14,OTH,13.39,3.33,2.71
2026-01-22,PHGE,16.67,2.93,3.57
2026-01-23,PHGE,12.32,12.32,4.01
2026-01-27,PHGE,69.51,40.77,6.95
2024-08-13,PMD,27.21,39.82,2.3279
2024-12-06,PMD,36.59,4.65,3.2099
2024-12-30,POLA,21.58,56.24,3.38
2025-02-19,POLA,13.31,4.91,3.15
2025-03-04,POLA,22.39,115.56,2.46
2025-09-04,POLA,31.96,664.94,2.89
2025-10-28,POLA,10.93,375.9,4.06
2026-01-20,POLA,41.07,274.15,2.37
2026-03-12,POLA,20.62,151.65,2.34
2025-10-13,PSIG,937.12,12.55,4.75
2025-11-21,PSIG,12.0,46.45,4.2
2025-12-08,PSIG,11.11,10.34,4.6
2026-02-02,PSIG,33.89,16.98,6.44
2026-02-13,PSIG,11.58,8.21,5.59
2026-05-07,PSIG,11.53,4.42,7.16
2026-02-03,PZG,23.86,2.06,2.18
2024-08-06,RCON,44.09,58.73,2.19
2025-05-16,RCON,15.17,3.21,2.05
2025-05-22,RCON,25.65,9.32,2.4
2025-06-13,RCON,24.95,5.19,2.599
2025-07-28,RCON,11.42,3.31,2.9525
2025-07-30,RCON,20.35,3.32,2.72
2024-08-14,REBN,35.36,160.02,3.79
2025-01-29,REBN,34.71,46.32,2.29
2025-01-31,REBN,62.56,216.7,3.3
2025-02-03,REBN,54.24,22.1,5.09
2025-06-24,REBN,14.41,5.67,2.7
2025-07-08,REBN,15.67,2.13,3.1
2025-07-24,REBN,10.31,4.57,2.89
2025-08-13,REBN,12.6,4.94,2.95
2026-04-06,REBN,16.14,4.49,2.59
2024-10-17,RKDA,14.39,5.34,3.18
2024-10-18,RKDA,24.53,9.57,3.96
2024-10-23,RKDA,11.39,4.59,4.01
2024-12-05,RKDA,102.08,5971.36,5.45
2025-10-08,RKDA,31.36,583.65,4.44
2025-10-14,RKDA,10.48,12.21,3.69
2025-10-15,RKDA,47.7,39.61,5.45
2026-01-07,RKDA,13.15,2.09,2.41
2024-11-11,RUMBW,13.15,2.68,2.0
2024-11-25,RUMBW,18.88,6.42,2.33
2024-12-06,RUMBW,23.56,3.63,2.78
2024-12-23,RUMBW,107.05,15.62,4.99
2024-12-26,RUMBW,32.42,3.16,6.27
2025-05-09,RUMBW,30.22,7.02,3.49
2025-05-12,RUMBW,10.89,6.99,3.87
2025-06-26,RUMBW,10.45,4.1,3.17
2025-10-03,RUMBW,29.26,9.36,2.65
2025-10-22,RUMBW,13.24,2.99,2.48
2025-02-20,SABR,22.42,4.38,4.15
2025-04-09,SABR,27.69,3.4,2.49
2025-10-22,SABR,16.58,5.57,2.18
2026-05-07,SABR,13.11,4.65,2.07
2024-08-13,SCPH,11.29,3.38,4.93
2025-05-15,SCPH,28.57,7.28,2.88
2025-05-16,SCPH,11.81,3.95,3.22
2025-08-25,SCPH,13.81,54.48,5.52
2025-01-15,SEMR,10.65,2.04,14.75
2025-11-19,SEMR,73.96,28.94,11.76
2025-01-29,SGN,123.71,336.33,4.34
2025-01-31,SGN,47.66,11.1,3.78
2025-05-28,SGN,163.86,48.77,2.19
2025-07-11,SGN,93.5,67.01,2.38
2025-09-19,SGN,15.34,4.53,2.18
2025-08-11,SKIN,16.93,3.1,2.21
2024-10-11,SLI,15.24,2.53,2.42
2024-10-22,SLI,12.69,2.08,2.22
2025-07-10,SLI,14.23,4.27,2.73
2025-09-24,SLI,20.14,5.92,3.46
2025-08-01,SNSE,38.03,21.45,10.325
2025-10-07,SNSE,18.36,11.4,11.2564
2025-10-16,SNSE,28.52,10.4,17.575
2025-11-19,SNSE,17.29,3.06,10.015
2025-12-04,SNSE,21.38,28.42,10.56
2026-01-22,SNSE,20.4,2.85,11.33
2025-10-08,SORA,34.42,2.7,6.99
2025-11-05,SORA,39.15,45.94,4.425
2026-02-02,SORA,58.19,177.17,2.8
2026-04-23,SORA,21.12,4.21,2.81
2024-10-07,SRFM,12.37,13.17,2.18
2024-10-09,SRFM,30.9,4.56,2.33
2024-10-10,SRFM,40.34,85.7,3.27
2024-11-19,SRFM,22.35,2.39,2.19
2024-11-21,SRFM,22.44,3.44,2.51
2024-11-25,SRFM,39.93,4.91,3.75
2024-12-12,SRFM,12.68,3.89,3.82
2024-12-26,SRFM,56.41,4.76,5.49
2025-02-10,SRFM,14.32,2.54,5.11
2025-05-28,SRFM,10.0,6.83,2.75
2025-06-03,SRFM,16.67,4.32,2.52
2025-06-24,SRFM,88.48,103.54,3.6
2025-06-26,SRFM,34.25,4.92,3.41
2025-07-08,SRFM,34.07,2.86,6.1
2025-08-13,SRFM,16.47,3.08,4.88
2025-10-06,SRFM,10.3,2.14,5.14
2025-12-22,SRFM,13.11,4.09,2.07
2026-01-02,SRFM,23.2,2.87,2.39
2026-01-05,SRFM,25.52,4.04,3.0
2024-08-02,STG,10.94,4.11,9.94
2024-08-15,STG,19.33,17.86,10.0
2025-01-22,STG,23.92,4.55,6.86
2025-06-09,STG,12.81,4.37,6.695
2025-07-09,STG,23.08,21.24,7.36
2025-07-11,STG,21.98,5.97,9.1
2025-07-14,STG,18.68,11.11,10.8
2025-07-16,STG,19.03,4.02,13.95
2025-11-19,STG,21.25,4.07,6.62
2026-05-29,STG,125.74,5239.12,6.14
2024-07-09,SYNX,15.52,3.18,3.2
2024-07-24,SYNX,13.06,56.54,3.55
2024-12-05,SYNX,12.55,2.95,3.0725
2024-12-17,SYNX,37.46,39.91,3.97
2025-01-03,SYNX,27.12,16.4,4.98
2025-03-18,SYNX,11.83,17.52,4.35
2025-06-20,SYNX,21.76,11.92,2.07
2024-07-18,TCRT,590.43,2.93,4.28
2024-08-20,TCRT,37.15,5.65,2.9899
2024-08-26,TCRT,12.32,2.28,3.19
2024-09-18,TCRT,27.87,4.46,3.12
2024-09-25,TCRT,17.61,4.88,3.94
2024-11-27,TCRT,20.6,3.0,2.81
2024-12-30,TCRT,17.93,7.62,2.17
2025-01-23,TCRT,19.3,5.74,2.04
2025-04-01,TCRT,46.94,500.75,2.16
2025-04-02,TCRT,29.63,48.83,2.8
2025-04-03,TCRT,50.71,6.6,4.22
2025-10-07,TCRT,18.11,10.35,3.0
2025-10-08,TCRT,23.33,6.1,3.7
2025-11-11,TCRT,11.86,2.6,2.83
2026-05-27,TCRT,14.69,5.54,2.81
2026-06-29,TCRT,13.94,4.11,2.37
2024-08-12,TLS,31.25,6.13,2.625
2024-08-15,TLS,26.2,3.97,2.77
2024-08-20,TLS,25.26,5.29,3.62
2024-11-06,TLS,10.44,4.19,4.55
2025-05-12,TLS,29.08,2.47,2.53
2025-08-11,TLS,62.61,35.65,3.87
2025-08-12,TLS,35.4,8.99,5.24
2025-11-10,TLS,21.63,5.05,7.76
2024-08-22,TOP,14.86,12.33,2.47
2024-10-02,TOP,61.58,167.75,2.86
2026-07-06,TOP,15.25,3.3,2.04
2026-07-16,TOP,20.0,6.92,2.52
2024-09-10,TRVN,53.73,14.98,7.84
2024-10-04,TRVN,15.19,2.61,4.605
2025-03-21,UAMY,17.88,4.29,2.11
2025-04-10,UAMY,13.84,2.51,2.55
2025-04-14,UAMY,12.54,2.05,3.14
2025-07-10,UAMY,17.7,2.02,2.66
2025-07-15,UAMY,10.03,2.07,3.29
2025-07-16,UAMY,13.68,2.9,3.74
2025-09-19,UAMY,10.19,3.56,6.49
2025-09-23,UAMY,13.18,4.6,7.3
2025-10-01,UAMY,21.77,2.19,7.55
2025-10-10,UAMY,12.22,2.86,12.21
2025-10-13,UAMY,36.86,3.25,16.71
2026-01-07,UAMY,12.16,2.62,7.84
2024-10-17,UPXI,29.64,14.62,3.28
2024-10-18,UPXI,10.06,3.33,3.61
2024-10-25,UPXI,170.0,57.48,8.1
2024-10-29,UPXI,27.04,4.82,8.55
2024-12-04,UPXI,32.96,2.3,5.97
2025-01-23,UPXI,24.63,93.07,4.2
2025-02-24,UPXI,28.08,10.34,3.74
2025-04-09,UPXI,18.76,68.68,2.59
2025-04-21,UPXI,330.94,1618.64,9.89
2025-04-23,UPXI,22.33,2.17,11.01
2025-04-25,UPXI,14.72,2.22,15.51
2025-06-30,UPXI,14.62,4.6,2.98
2025-07-03,UPXI,10.55,3.58,3.195
2025-07-08,UPXI,26.69,4.11,4.13
2025-07-10,UPXI,19.9,2.67,5.0
2025-07-16,UPXI,39.62,4.38,7.26
2026-01-05,UPXI,18.85,2.29,2.27
2024-11-21,VATE,23.91,2.94,4.82
2024-11-22,VATE,24.27,8.4,5.99
2025-01-21,VATE,86.3,520.24,9.52
2025-05-22,VATE,19.37,3.86,6.84
2025-05-27,VATE,16.93,6.15,7.39
2025-08-08,VATE,13.19,2.53,5.15
2025-10-21,VATE,11.51,6.05,5.23
2025-12-18,VATE,19.29,3.16,5.38
2026-03-27,VATE,13.9,4.61,4.59
2026-03-30,VATE,19.83,8.64,5.5
2026-04-01,VATE,20.25,3.95,6.83
2026-04-02,VATE,13.76,3.63,7.77
2026-05-26,VATE,18.47,3.63,15.52
2026-06-05,VATE,10.67,2.07,18.98
2024-07-22,VGAS,18.08,6.02,5.03
2025-04-09,VGAS,11.64,3.07,3.26
2025-04-10,VGAS,17.18,6.65,3.82
2025-06-18,VGAS,10.8,6.72,3.59
2025-09-16,VGAS,14.84,3.99,3.25
2024-09-10,VRDN,32.14,18.76,18.75
2026-05-05,VRDN,33.36,7.58,18.75
2024-11-21,WORX,116.33,1035.18,2.12
2025-10-13,WWR,29.29,3.4,2.56
2025-10-14,WWR,35.94,4.88,3.48
2024-12-09,XHG,11.11,5.54,2.0
2025-05-13,XHG,12.5,6.2,2.52
2024-07-26,YIBO,53.43,144.02,2.915
2024-07-29,YIBO,36.19,1993.07,3.97
2024-08-30,YIBO,40.0,17.01,2.842
2024-10-07,YIBO,23.11,2.4,3.004
2024-10-08,YIBO,36.48,3.01,4.1
2024-12-04,YIBO,35.76,3.34,4.1
2024-12-17,YIBO,24.62,3.51,4.05
2025-01-27,YIBO,43.26,3444.71,3.08
2025-01-28,YIBO,66.88,31.37,5.14
2025-05-14,YIBO,33.72,44.37,2.3
2024-09-27,ZEPP,14.61,4.2,4.0
2025-03-18,ZEPP,13.79,4.24,3.63
2025-05-12,ZEPP,12.25,7.44,2.84
2025-07-07,ZEPP,16.78,14.12,3.48
2025-07-08,ZEPP,47.13,430.25,5.12
2025-07-11,ZEPP,69.46,3.41,10.32
2025-07-15,ZEPP,46.29,2.36,14.0
